http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   packetbeat-2018.01.18 dqzFGub0SrO6Se3fLgGZVw   5   0     256931            0       72mb           72mb
green  open   netflow-v5-2018.07.16 Cu521n0fR_CcjIp_8FnBsQ   1   0        323            0    132.1kb        132.1kb
green  open   netflow-v9-2016.08.20 UUVq3JayQYCgh2S_a00zVQ   1   0        429            0     79.3kb         79.3kb
yellow open   bro-2018.07.10        S1HPJ2JnSUKywfNzrhBduA   5   1      73140            0     40.4mb         40.4mb
green  open   winlogbeat-2017.11.10 prFaJYoiSoatMZABjNegPw   5   0        261            0    501.2kb        501.2kb
green  open   snort-2018.07.02      ywy8glZDR9KITsFwLejP9Q   1   0        649            0      5.1mb          5.1mb
green  open   bro-2017.12.05        eziet45OSc6zF7Pqzq1PEQ   5   0     129158            0     42.7mb         42.7mb
green  open   snort-2017.09.11      zVnIzWtqS1yjf82qxn7nIA   1   0       4063            0      9.2mb          9.2mb
yellow open   netflow-v9-2018.06.05 dkahg6fMQZKOOWjuhDKaig   5   1      16395            0      4.3mb          4.3mb
green  open   snort-2018.07.10      to9nreryQVuH1cGeAVrwkQ   1   0       1111            0     13.2mb         13.2mb
green  open   netflow-v5-2017.10.30 sAX0jJe6Rri2jw_3oVZiTw   1   0       8413            0      1.1mb          1.1mb
green  open   snort-2018.02.08      pG-6dmeES3exs7lKdkkLCg   1   0        679            0      2.9mb          2.9mb
green  open   winlogbeat-2017.12.02 fEUAoj0UTYWwpp7qUO-v5A   5   0        254            0    469.3kb        469.3kb
green  open   snort-2018.07.07      XFlN49vsRQ67exvlIf2vXg   1   0       1617            0     31.7mb         31.7mb
green  open   netflow-v9-2017.04.03 lQsc1TjmSCOWMAub5GlbLw   1   0      16721            0      2.8mb          2.8mb
yellow open   netflow-v9-2018.06.30 v9kgAtHdQ0GAKODw1yUrrA   5   1      14539            0        4mb            4mb
green  open   winlogbeat-2018.01.26 tj0CVasCQD-NgsL1OlYacA   5   0        599            0    459.7kb        459.7kb
green  open   winlogbeat-2017.12.15 HX7fVrAEQ3afE0cs4YRZ0A   5   0        239            0    407.8kb        407.8kb
green  open   snort-2017.10.18      RYXX4vzmRTiQlPDh6yrlug   1   0       8569            0     55.5mb         55.5mb
yellow open   bro-2018.06.27        judYZ50xTv2aIR6WJMVjPQ   5   1      69872            0     38.9mb         38.9mb
green  open   snort-2017.10.20      KT6uKxrhSnGku92XGUJ_5w   1   0       1397            0        5mb            5mb
green  open   winlogbeat-2017.11.06 IpMuxgDjQxmLhZ19G--XfA   5   0     256482            0       90mb           90mb
green  open   winlogbeat-2017.12.04 d45JCPOdSMCDsCSOzu6lHA   5   0        266            0      414kb          414kb
green  open   snort-2017.12.12      nWA6fpuuR2yKgKglIC02jA   1   0      11578            0     39.6mb         39.6mb
